run,search_id,algorithm,origin,resource,ttl,found,holder,messages,visited_nodes,cache_hits
1,40d71093,flooding,n8,chave,4,1,n11,4,2,0
1,bdf92564,informed_flooding,n8,chave,4,1,n11,4,2,0
1,d5eb6c1c,informed_random_walk,n8,chave,4,1,n11,2,2,0
1,1c8fec4d,random_walk,n8,chave,4,1,n11,2,2,0
2,036a15fa,flooding,n1,relatorio,4,1,n9,16,7,0
2,f1a9e0e2,informed_flooding,n1,relatorio,4,1,n9,16,7,0
2,e16439d8,informed_random_walk,n1,relatorio,4,0,,4,5,0
2,c2cb6454,random_walk,n1,relatorio,4,0,,4,5,0
3,3ded1296,flooding,n2,manual,4,1,n12,12,5,0
3,fb6253d3,informed_flooding,n2,manual,4,1,n12,12,5,0
3,24a24c7c,informed_random_walk,n2,manual,4,0,,4,5,0
3,0963a3cc,random_walk,n2,manual,4,0,,4,5,0
4,2f8ba55d,flooding,n12,codigo,4,1,n7,9,4,0
4,8c767f34,informed_flooding,n12,codigo,4,1,n7,9,4,0
4,64cebe1a,informed_random_walk,n12,codigo,4,0,,4,5,0
4,a1e4917c,random_walk,n12,codigo,4,0,,4,5,0
5,2d13a9cd,flooding,n9,chave,4,1,n11,22,11,0
5,f93a9a56,informed_flooding,n9,chave,4,1,n11,19,10,1
5,142d5e32,informed_random_walk,n9,chave,4,1,n11,8,5,1
5,07bd4bc0,random_walk,n9,chave,4,0,,4,5,0
6,9bf13080,flooding,n8,relatorio,4,1,n9,18,9,0
6,7bf21efb,informed_flooding,n8,relatorio,4,1,n9,18,9,0
6,c29c7132,informed_random_walk,n8,relatorio,4,0,,4,5,0
6,36d96027,random_walk,n8,relatorio,4,0,,4,5,0
7,c9f7a758,flooding,n6,backup,4,1,n10,4,2,0
7,c365e380,informed_flooding,n6,backup,4,1,n10,4,2,0
7,6eb004ba,informed_random_walk,n6,backup,4,1,n10,2,2,0
7,e3c3833c,random_walk,n6,backup,4,1,n10,2,2,0
8,9976b5da,flooding,n7,r12,4,1,n11,4,2,0
8,fcf33565,informed_flooding,n7,r12,4,1,n11,4,2,0
8,73155699,informed_random_walk,n7,r12,4,0,,4,5,0
8,84ceec64,random_walk,n7,r12,4,0,,4,5,0
9,4da83367,flooding,n1,apostila,4,1,n1,0,1,0
9,b2e3306b,informed_flooding,n1,apostila,4,1,n1,0,1,0
9,17135782,informed_random_walk,n1,apostila,4,1,n1,0,1,0
9,a03d4266,random_walk,n1,apostila,4,1,n1,0,1,0
10,4987bf47,flooding,n10,imagem,4,1,n3,18,9,0
10,7ef604ae,informed_flooding,n10,imagem,4,1,n3,18,9,0
10,5b85f2a1,informed_random_walk,n10,imagem,4,1,n3,6,4,0
10,5c038aaa,random_walk,n10,imagem,4,1,n3,6,4,0
11,1e51e2d7,flooding,n12,r3,4,1,n2,14,6,0
11,eb87e26d,informed_flooding,n12,r3,4,1,n2,14,6,0
11,bd64ae1a,informed_random_walk,n12,r3,4,0,,4,5,0
11,e8797e25,random_walk,n12,r3,4,0,,4,5,0
12,d90d6177,flooding,n7,apostila,4,1,n1,14,7,0
12,21cc1ef9,informed_flooding,n7,apostila,4,1,n1,14,7,0
12,6ddc45d3,informed_random_walk,n7,apostila,4,0,,4,5,0
12,41bfc4cc,random_walk,n7,apostila,4,0,,4,5,0
